config,metric,dataset,a,b,mean_diff,t,p,P_b_better,P_rope,P_a_better,p_holm
default,MCC,PIMA,SVM,NB,0.04194170819843168,0.818130911111707,0.4344077964008128,0.12869982119988302,0.21054002415956208,0.6607601546405549,1.0
default,MCC,PIMA,MLP,NB,-0.08589007271266946,-1.47169902941622,0.1751846469667145,0.8561274005826532,0.09247769260456631,0.05139490681278044,1.0
default,MCC,HEART,LR,RF,-0.004010156746877841,-0.13232087577347496,0.8976415599309455,0.30407947789943873,0.4731019802982105,0.2228185418023508,1.0
default,MCC,HEART,LR,XGB,0.041209232559764816,0.7404362242509851,0.4779062981638458,0.14845736007271307,0.20661311477409927,0.6449295251531877,1.0
default,MCC,HEART,LR,SVM,0.014823352985052812,0.33744731918775706,0.7435165176421255,0.2226827385662287,0.3232338989215694,0.45408336251220194,1.0
default,MCC,HEART,LR,MLP,0.08607698715118565,1.3332213167820093,0.21521956015931099,0.06624884665355199,0.09861940368640831,0.8351317496600397,1.0
default,MCC,HEART,LR,NB,0.012984349417748542,0.22440016199811005,0.8274575677882979,0.2900479988854968,0.25718731467611217,0.452764686438391,1.0
default,MCC,HEART,RF,XGB,0.045219389306642654,0.9177579934265464,0.3826812873399902,0.10770680630624008,0.2016737789233657,0.6906194147703942,1.0
default,MCC,HEART,RF,SVM,0.018833509731930653,0.3863925024132974,0.7081822895781464,0.22158051291352027,0.28776760450358874,0.49065188258289105,1.0
default,MCC,HEART,RF,MLP,0.0900871438980635,1.3063185943046731,0.22384015554368253,0.07124660896077638,0.09522490442157239,0.8335284866176512,1.0
default,MCC,HEART,RF,NB,0.01699450616462638,0.293071043080451,0.7761128821203825,0.26835396419406826,0.2518833830751342,0.4797626527307976,1.0
default,MCC,HEART,XGB,SVM,-0.026385879574712008,-0.4179858996231832,0.6857537762020655,0.5394429900037143,0.22141177447112795,0.23914523552515773,1.0
default,MCC,HEART,XGB,MLP,0.04486775459142083,1.208291098281602,0.25772423755153123,0.0562476832359343,0.20231166421368518,0.7414406525503805,1.0
default,MCC,HEART,XGB,NB,-0.028224883142016276,-0.4211900166959359,0.6834967232676439,0.5478125595782237,0.20860504168169444,0.24358239874008183,1.0
default,MCC,HEART,SVM,MLP,0.07125363416613284,0.8978248626940231,0.3926635337428767,0.13841341256333448,0.12749780001541833,0.7340887874212472,1.0
default,MCC,HEART,SVM,NB,-0.0018390035673042705,-0.027987550297228263,0.9782828571093639,0.39355171690202384,0.23365494292611322,0.37279334017186294,1.0
default,MCC,HEART,MLP,NB,-0.0730926377334371,-0.8862918171264887,0.3985230911614634,0.7334558231270105,0.12397783066102061,0.14256634621196887,1.0
default,MCC,D130,LR,RF,0.030478377336627116,2.681912399827509,0.02512721938292389,0.000809647623088073,0.1894723687463321,0.8097179836305798,0.17589053568046722
default,MCC,D130,LR,XGB,0.04291985636013902,3.2325750028677174,0.0102801606839855,0.0005302795239565135,0.058660051056349305,0.9408096694196941,0.0925214461558695
default,MCC,D130,LR,SVM,0.07297297269435322,3.338666396181202,0.00867856476389919,0.0010653991803588501,0.01812550192341489,0.9808090988962263,0.08848994148493715
default,MCC,D130,LR,MLP,0.09183433822005349,7.2574753069404405,4.7777048668358386e-05,4.951550097946266e-06,0.0001465734856073153,0.9998484749642947,0.0007166557300253758
default,MCC,D130,LR,NB,0.024964883303414575,1.5008844764430418,0.16762586402574897,0.012131489113122593,0.37392226188969924,0.6139462489971782,0.8381293201287449
default,MCC,D130,RF,XGB,0.01244147902351191,1.2665643586933157,0.23710696786891433,0.004595862429213462,0.7647388600495674,0.23066527752121915,0.8381293201287449
default,MCC,D130,RF,SVM,0.04249459535772611,2.787631143982282,0.02113550355104875,0.0013391046442404512,0.0857345895083238,0.9129263058474357,0.16908402840839
