strategy,model,repeat,fold,ACC,BAL,F1,AUC,MCC,BRIER
median,LR,3,2,0.7922077922077922,0.788888888888889,0.7241379310344828,0.86,0.5621703750837337,0.14581186973623145
median,LR,3,3,0.7922077922077922,0.788888888888889,0.7241379310344828,0.8770370370370371,0.5621703750837337,0.1337483056707532
median,LR,3,4,0.7272727272727273,0.7559259259259259,0.6865671641791045,0.8585185185185186,0.4888552745746736,0.14669977063410608
median,LR,3,5,0.7662337662337663,0.7433333333333333,0.6666666666666666,0.7896296296296296,0.4866666666666667,0.17632931528121834
median,LR,3,6,0.7922077922077922,0.7974074074074073,0.7333333333333333,0.8977777777777778,0.5735421669624219,0.1248625153069999
median,LR,3,7,0.7662337662337663,0.7433333333333333,0.6666666666666666,0.8162962962962963,0.4866666666666667,0.15713338614148684
median,LR,3,8,0.75,0.7176923076923076,0.6274509803921569,0.8123076923076924,0.43963237075742945,0.17087954140899458
median,LR,3,9,0.6578947368421053,0.6292307692307693,0.5185185185185185,0.7361538461538462,0.254195563720897,0.22126188278734082
median,LR,4,0,0.6493506493506493,0.6107407407407407,0.49056603773584906,0.7466666666666666,0.22347685044988602,0.18473112626124844
median,LR,4,1,0.7922077922077922,0.788888888888889,0.7241379310344828,0.8762962962962964,0.5621703750837337,0.14061409090199964
median,LR,4,2,0.8311688311688312,0.835925925925926,0.7796610169491526,0.8962962962962964,0.6505177583352088,0.1233892154196495
median,LR,4,3,0.7922077922077922,0.7548148148148148,0.68,0.8437037037037037,0.5313256180417312,0.147854647209962
